date,1. open,2. high,3. low,4. close,5. volume
2019-04-26 16:00:00,57.85,57.88,57.81,57.85,16032
2019-04-26 15:59:00,57.83,57.85,57.83,57.845,3114
2019-04-26 15:58:00,57.8,57.83,57.795,57.83,6629
2019-04-26 15:57:00,57.79,57.8,57.79,57.8,1525
2019-04-26 15:56:00,57.76,57.79,57.75,57.79,3204
2019-04-26 15:55:00,57.78,57.78,57.74,57.75,4111
2019-04-26 15:54:00,57.77,57.8,57.77,57.77,6089
2019-04-26 15:53:00,57.78,57.79,57.77,57.77,3830
2019-04-26 15:52:00,57.78,57.79,57.77,57.79,5413
2019-04-26 15:51:00,57.765,57.78,57.75,57.78,1615
2019-04-26 15:50:00,57.77,57.77,57.76,57.77,2338
2019-04-26 15:49:00,57.8,57.8,57.755,57.77,2651
2019-04-26 15:48:00,57.81,57.81,57.8,57.8,1505
2019-04-26 15:47:00,57.83,57.83,57.83,57.83,410
2019-04-26 15:46:00,57.82,57.83,57.82,57.82,1430
2019-04-26 15:45:00,57.83,57.83,57.82,57.83,1658
2019-04-26 15:44:00,57.8,57.82,57.8,57.82,4005
2019-04-26 15:43:00,57.82,57.82,57.81,57.81,785
2019-04-26 15:42:00,57.83,57.83,57.83,57.83,345
2019-04-26 15:41:00,57.82,57.84,57.82,57.83,2861
2019-04-26 15:40:00,57.8,57.81,57.8,57.81,1786
2019-04-26 15:39:00,57.79,57.81,57.79,57.8,2290
2019-04-26 15:38:00,57.795,57.795,57.78,57.79,2319
2019-04-26 15:37:00,57.79,57.795,57.79,57.795,1054
2019-04-26 15:36:00,57.81,57.81,57.79,57.79,2426
2019-04-26 15:35:00,57.82,57.82,57.81,57.82,1751
2019-04-26 15:34:00,57.82,57.82,57.82,57.82,518
2019-04-26 15:33:00,57.81,57.81,57.81,57.81,1077
2019-04-26 15:32:00,57.83,57.83,57.83,57.83,2355
2019-04-26 15:31:00,57.82,57.83,57.78,57.83,4605
2019-04-26 15:30:00,57.81,57.82,57.805,57.81,1909
2019-04-26 15:29:00,57.83,57.83,57.81,57.81,1564
2019-04-26 15:27:00,57.83,57.845,57.825,57.825,1853
2019-04-26 15:25:00,57.82,57.825,57.82,57.82,1201
2019-04-26 15:24:00,57.81,57.81,57.81,57.81,386
2019-04-26 15:23:00,57.8,57.8,57.8,57.8,1322
2019-04-26 15:22:00,57.82,57.82,57.82,57.82,1325
2019-04-26 15:20:00,57.79,57.8,57.79,57.8,2439
2019-04-26 15:19:00,57.76,57.7899,57.7598,57.78,3919
2019-04-26 15:18:00,57.77,57.77,57.77,57.77,200
2019-04-26 15:17:00,57.76,57.76,57.76,57.76,671
2019-04-26 15:16:00,57.76,57.78,57.76,57.78,893
2019-04-26 15:15:00,57.75,57.765,57.75,57.765,1785
2019-04-26 15:14:00,57.77,57.77,57.75,57.75,1003
2019-04-26 15:13:00,57.78,57.78,57.78,57.78,117
2019-04-26 15:12:00,57.76,57.78,57.75,57.78,4032
2019-04-26 15:11:00,57.76,57.76,57.76,57.76,201
2019-04-26 15:10:00,57.75,57.77,57.74,57.77,1496
2019-04-26 15:09:00,57.79,57.79,57.76,57.76,955
2019-04-26 15:06:00,57.82,57.82,57.81,57.81,869
2019-04-26 15:04:00,57.785,57.79,57.77,57.79,1632
2019-04-26 15:03:00,57.82,57.82,57.78,57.78,3357
2019-04-26 15:02:00,57.755,57.755,57.755,57.755,178
2019-04-26 15:01:00,57.76,57.76,57.76,57.76,546
2019-04-26 15:00:00,57.73,57.75,57.73,57.73,1525
2019-04-26 14:59:00,57.73,57.73,57.73,57.73,200
2019-04-26 14:58:00,57.77,57.77,57.77,57.77,1127
2019-04-26 14:57:00,57.76,57.76,57.74,57.74,280
2019-04-26 14:56:00,57.79,57.79,57.78,57.78,430
2019-04-26 14:55:00,57.8,57.8,57.78,57.8,1709
2019-04-26 14:54:00,57.8,57.82,57.8,57.8,1011
2019-04-26 14:53:00,57.83,57.83,57.83,57.83,100
2019-04-26 14:52:00,57.78,57.78,57.78,57.78,754
2019-04-26 14:51:00,57.77,57.77,57.77,57.77,530
2019-04-26 14:50:00,57.79,57.79,57.79,57.79,200
2019-04-26 14:49:00,57.74,57.78,57.74,57.78,1497
2019-04-26 14:48:00,57.72,57.74,57.72,57.74,800
2019-04-26 14:47:00,57.73,57.74,57.72,57.74,1839
2019-04-26 14:46:00,57.71,57.71,57.71,57.71,405
2019-04-26 14:45:00,57.74,57.76,57.72,57.76,1325
2019-04-26 14:44:00,57.725,57.75,57.725,57.74,1105
2019-04-26 14:43:00,57.73,57.74,57.72,57.74,443
2019-04-26 14:42:00,57.73,57.73,57.73,57.73,200
2019-04-26 14:41:00,57.75,57.75,57.74,57.74,777
2019-04-26 14:40:00,57.75,57.75,57.72,57.75,900
2019-04-26 14:38:00,57.7,57.76,57.675,57.76,3242
2019-04-26 14:37:00,57.75,57.75,57.73,57.73,1527
2019-04-26 14:36:00,57.8,57.8,57.75,57.78,1102
2019-04-26 14:35:00,57.795,57.81,57.79,57.8,18042
2019-04-26 14:34:00,57.8,57.8,57.8,57.8,614
2019-04-26 14:33:00,57.83,57.83,57.8,57.8,757
2019-04-26 14:32:00,57.83,57.84,57.82,57.84,1404
2019-04-26 14:31:00,57.83,57.86,57.82,57.84,501
2019-04-26 14:30:00,57.84,57.86,57.83,57.86,845
2019-04-26 14:29:00,57.83,57.84,57.83,57.84,944
2019-04-26 14:28:00,57.79,57.82,57.79,57.82,2009
2019-04-26 14:27:00,57.795,57.795,57.79,57.79,510
2019-04-26 14:26:00,57.8,57.8,57.8,57.8,368
2019-04-26 14:25:00,57.81,57.83,57.81,57.83,2431
2019-04-26 14:24:00,57.82,57.82,57.79,57.79,1417
2019-04-26 14:23:00,57.8,57.82,57.8,57.81,347
2019-04-26 14:21:00,57.77,57.77,57.76,57.76,570
2019-04-26 14:20:00,57.72,57.73,57.72,57.73,800
2019-04-26 14:19:00,57.71,57.72,57.71,57.72,1330
2019-04-26 14:18:00,57.69,57.71,57.69,57.71,687
2019-04-26 14:17:00,57.7172,57.7172,57.71,57.71,731
2019-04-26 14:15:00,57.71,57.715,57.71,57.715,1301
2019-04-26 14:14:00,57.71,57.71,57.71,57.71,300
2019-04-26 14:13:00,57.72,57.72,57.7,57.7,971
2019-04-26 14:12:00,57.73,57.73,57.73,57.73,1144
2019-04-26 14:11:00,57.7,57.7,57.7,57.7,100
2019-04-26 14:10:00,57.71,57.73,57.71,57.73,700
2019-04-26 14:09:00,57.7,57.71,57.7,57.71,305
2019-04-26 14:08:00,57.71,57.71,57.7,57.7,318
2019-04-26 14:07:00,57.68,57.68,57.68,57.68,300
2019-04-26 14:06:00,57.68,57.68,57.67,57.67,1095
2019-04-26 14:05:00,57.63,57.64,57.63,57.64,852
2019-04-26 14:04:00,57.57,57.6,57.57,57.6,2573
2019-04-26 14:03:00,57.59,57.59,57.57,57.57,668
2019-04-26 14:02:00,57.6392,57.6392,57.62,57.63,1043
2019-04-26 14:00:00,57.64,57.65,57.64,57.645,1095
2019-04-26 13:59:00,57.65,57.65,57.65,57.65,110
2019-04-26 13:58:00,57.66,57.66,57.66,57.66,626
2019-04-26 13:57:00,57.7005,57.7005,57.67,57.68,860
2019-04-26 13:56:00,57.68,57.69,57.68,57.69,381
2019-04-26 13:55:00,57.69,57.69,57.69,57.69,479
2019-04-26 13:54:00,57.69,57.69,57.69,57.69,205
2019-04-26 13:53:00,57.69,57.71,57.69,57.71,1182
2019-04-26 13:52:00,57.69,57.695,57.68,57.68,614
2019-04-26 13:51:00,57.71,57.71,57.71,57.71,253
2019-04-26 13:50:00,57.71,57.71,57.71,57.71,262
2019-04-26 13:48:00,57.735,57.75,57.72,57.74,783
2019-04-26 13:47:00,57.75,57.75,57.74,57.74,428
2019-04-26 13:46:00,57.73,57.73,57.73,57.73,909
2019-04-26 13:45:00,57.69,57.74,57.69,57.74,748
2019-04-26 13:44:00,57.7,57.71,57.7,57.71,1277
2019-04-26 13:43:00,57.71,57.72,57.71,57.72,200
2019-04-26 13:42:00,57.75,57.75,57.72,57.74,2623
2019-04-26 13:41:00,57.78,57.78,57.76,57.765,824
2019-04-26 13:39:00,57.75,57.76,57.75,57.76,1148
2019-04-26 13:38:00,57.74,57.74,57.73,57.73,553
2019-04-26 13:37:00,57.7501,57.7501,57.75,57.75,212
2019-04-26 13:36:00,57.78,57.78,57.76,57.76,732
2019-04-26 13:35:00,57.7164,57.775,57.7164,57.76,2128
2019-04-26 13:34:00,57.7,57.73,57.7,57.72,1785
2019-04-26 13:33:00,57.68,57.68,57.68,57.68,200
2019-04-26 13:32:00,57.71,57.72,57.71,57.72,300
2019-04-26 13:31:00,57.68,57.68,57.68,57.68,330
2019-04-26 13:30:00,57.7,57.7,57.68,57.68,530
2019-04-26 13:29:00,57.68,57.69,57.68,57.69,541
2019-04-26 13:28:00,57.7,57.7,57.68,57.68,580
2019-04-26 13:27:00,57.68,57.69,57.68,57.69,1143
2019-04-26 13:26:00,57.68,57.68,57.675,57.68,915
2019-04-26 13:25:00,57.67,57.67,57.66,57.67,1678
2019-04-26 13:24:00,57.68,57.7,57.67,57.68,721
2019-04-26 13:23:00,57.64,57.66,57.64,57.66,744
2019-04-26 13:22:00,57.64,57.64,57.64,57.64,140
2019-04-26 13:21:00,57.63,57.63,57.63,57.63,225
2019-04-26 13:20:00,57.6527,57.66,57.6527,57.66,309
2019-04-26 13:19:00,57.66,57.66,57.65,57.65,769
2019-04-26 13:17:00,57.69,57.69,57.65,57.65,1279
2019-04-26 13:16:00,57.69,57.71,57.69,57.71,700
2019-04-26 13:14:00,57.65,57.67,57.65,57.67,932
2019-04-26 13:13:00,57.65,57.66,57.64,57.65,630
2019-04-26 13:12:00,57.71,57.71,57.65,57.67,2571
2019-04-26 13:11:00,57.74,57.81,57.71,57.71,9174
2019-04-26 13:10:00,57.63,57.72,57.625,57.72,4257
2019-04-26 13:09:00,57.61,57.61,57.61,57.61,500
2019-04-26 13:08:00,57.61,57.63,57.61,57.63,300
2019-04-26 13:07:00,57.62,57.62,57.62,57.62,300
2019-04-26 13:06:00,57.64,57.64,57.63,57.64,876
2019-04-26 13:05:00,57.65,57.65,57.65,57.65,1078
2019-04-26 13:04:00,57.64,57.65,57.63,57.65,720
2019-04-26 13:03:00,57.67,57.67,57.67,57.67,500
2019-04-26 13:02:00,57.64,57.64,57.64,57.64,116
2019-04-26 13:01:00,57.67,57.67,57.65,57.65,734
2019-04-26 13:00:00,57.66,57.69,57.66,57.67,1795
2019-04-26 12:59:00,57.62,57.66,57.62,57.66,1541
2019-04-26 12:57:00,57.6,57.62,57.6,57.62,341
2019-04-26 12:56:00,57.63,57.63,57.63,57.63,100
2019-04-26 12:55:00,57.59,57.61,57.59,57.61,968
2019-04-26 12:54:00,57.59,57.595,57.59,57.595,1413
2019-04-26 12:53:00,57.57,57.6,57.57,57.59,1200
2019-04-26 12:52:00,57.6,57.61,57.6,57.61,293
2019-04-26 12:51:00,57.6,57.6,57.6,57.6,196
2019-04-26 12:50:00,57.61,57.61,57.59,57.59,814
2019-04-26 12:49:00,57.59,57.6,57.59,57.6,628
2019-04-26 12:47:00,57.605,57.605,57.58,57.59,648
2019-04-26 12:46:00,57.61,57.61,57.6,57.6,1728
2019-04-26 12:45:00,57.59,57.6,57.58,57.6,700
2019-04-26 12:44:00,57.59,57.59,57.585,57.585,1103
2019-04-26 12:43:00,57.61,57.61,57.57,57.6,916
2019-04-26 12:42:00,57.62,57.62,57.59,57.61,637
2019-04-26 12:41:00,57.64,57.65,57.63,57.65,446
2019-04-26 12:40:00,57.66,57.66,57.63,57.63,500
2019-04-26 12:39:00,57.65,57.67,57.65,57.66,1009
2019-04-26 12:38:00,57.65,57.65,57.65,57.65,412
2019-04-26 12:37:00,57.66,57.66,57.66,57.66,579
2019-04-26 12:36:00,57.68,57.69,57.66,57.68,2257
2019-04-26 12:35:00,57.67,57.67,57.67,57.67,319
2019-04-26 12:34:00,57.63,57.66,57.63,57.65,2001
2019-04-26 12:33:00,57.63,57.64,57.62,57.62,1033
2019-04-26 12:31:00,57.64,57.64,57.64,57.64,100
2019-04-26 12:29:00,57.635,57.65,57.635,57.65,1595
2019-04-26 12:28:00,57.64,57.64,57.63,57.63,700
2019-04-26 12:26:00,57.64,57.66,57.64,57.66,500
2019-04-26 12:24:00,57.67,57.67,57.65,57.65,361
2019-04-26 12:23:00,57.66,57.66,57.66,57.66,330
2019-04-26 12:22:00,57.74,57.74,57.67,57.68,2145
2019-04-26 12:20:00,57.76,57.77,57.76,57.77,744
2019-04-26 12:19:00,57.7,57.75,57.7,57.72,1503
2019-04-26 12:18:00,57.69,57.69,57.68,57.68,200
2019-04-26 12:16:00,57.71,57.71,57.71,57.71,401
2019-04-26 12:15:00,57.7,57.7,57.7,57.7,300
2019-04-26 12:14:00,57.66,57.71,57.66,57.71,1242
2019-04-26 12:12:00,57.67,57.67,57.65,57.65,1400
2019-04-26 12:11:00,57.61,57.68,57.61,57.68,2705
2019-04-26 12:10:00,57.61,57.61,57.6,57.6,1232
2019-04-26 12:08:00,57.63,57.63,57.63,57.63,300
2019-04-26 12:07:00,57.63,57.63,57.63,57.63,397
2019-04-26 12:06:00,57.6,57.65,57.6,57.625,1145
2019-04-26 12:05:00,57.57,57.61,57.55,57.55,1112
2019-04-26 12:04:00,57.57,57.58,57.57,57.58,415
2019-04-26 12:02:00,57.56,57.56,57.56,57.56,404
2019-04-26 12:00:00,57.55,57.57,57.55,57.57,426
2019-04-26 11:59:00,57.55,57.55,57.55,57.55,110
2019-04-26 11:58:00,57.64,57.64,57.61,57.61,927
2019-04-26 11:56:00,57.6904,57.6904,57.65,57.65,2013
2019-04-26 11:55:00,57.69,57.7,57.69,57.7,306
2019-04-26 11:54:00,57.71,57.71,57.65,57.66,532
2019-04-26 11:52:00,57.6733,57.6733,57.64,57.64,797
2019-04-26 11:51:00,57.7,57.7,57.66,57.66,501
2019-04-26 11:50:00,57.84,57.879,57.7,57.7,8298
2019-04-26 11:49:00,57.94,57.94,57.8,57.81,6796
2019-04-26 11:48:00,57.81,57.94,57.81,57.9275,9348
2019-04-26 11:47:00,57.715,57.83,57.69,57.8,3896
2019-04-26 11:46:00,57.68,57.73,57.68,57.715,2758
2019-04-26 11:45:00,57.66,57.67,57.66,57.66,703
2019-04-26 11:44:00,57.64,57.65,57.64,57.65,943
2019-04-26 11:43:00,57.64,57.64,57.63,57.63,417
2019-04-26 11:42:00,57.605,57.605,57.6,57.605,1800
2019-04-26 11:41:00,57.62,57.69,57.6002,57.605,9408
2019-04-26 11:40:00,57.66,57.69,57.58,57.58,12720
2019-04-26 11:39:00,57.61,57.705,57.61,57.67,11362
2019-04-26 11:38:00,57.43,57.6,57.43,57.6,5494
2019-04-26 11:37:00,57.42,57.45,57.39,57.43,2190
2019-04-26 11:36:00,57.42,57.42,57.42,57.42,485
2019-04-26 11:34:00,57.41,57.41,57.41,57.41,401
2019-04-26 11:32:00,57.39,57.39,57.39,57.39,400
2019-04-26 11:31:00,57.39,57.39,57.39,57.39,101
