date,1. open,2. high,3. low,4. close,5. volume
2019-03-25 09:31:00,71.575,71.575,71.575,71.575,29608.0
2019-03-25 09:32:00,71.65,71.89,71.65,71.79,19097.0
2019-03-25 09:33:00,71.74,71.92,71.69,71.92,11897.0
2019-03-25 09:34:00,71.98,72.0,71.89,71.94,15913.0
2019-03-25 09:35:00,71.99,72.04,71.88,72.04,12009.0
2019-03-25 09:36:00,72.01,72.17,72.01,72.14,17902.0
2019-03-25 09:37:00,72.25,72.27,72.19,72.2,26859.0
2019-03-25 09:38:00,72.21,72.27,72.21,72.27,19745.0
2019-03-25 09:39:00,72.28,72.41,72.28,72.3,21521.0
2019-03-25 09:40:00,72.32,72.32,72.24,72.2498,16929.0
2019-03-25 09:41:00,72.16,72.16,72.07,72.07,3821.0
2019-03-25 09:42:00,72.1,72.14,72.06,72.06,7272.0
2019-03-25 09:43:00,72.08,72.08,72.0,72.0,7475.0
2019-03-25 09:44:00,71.93,71.97,71.93,71.97,8773.0
2019-03-25 09:45:00,71.95,71.96,71.91,71.91,6812.0
2019-03-25 09:46:00,71.86,71.86,71.79,71.81,5628.0
2019-03-25 09:47:00,71.76,71.76,71.69,71.71,6165.0
2019-03-25 09:48:00,71.73,71.74,71.7,71.72,6939.0
2019-03-25 09:49:00,71.64,71.64,71.59,71.59,3760.0
2019-03-25 09:50:00,71.6,71.61,71.579,71.6,8294.0
2019-03-25 09:51:00,71.62,71.73,71.62,71.73,13880.0
2019-03-25 09:52:00,71.83,71.89,71.81,71.86,8348.0
2019-03-25 09:53:00,71.91,71.97,71.89,71.97,12135.0
2019-03-25 09:54:00,71.94,71.99,71.9,71.9,15631.0
2019-03-25 09:55:00,71.91,71.93,71.86,71.86,4410.0
2019-03-25 09:56:00,71.8,71.88,71.8,71.88,13443.0
2019-03-25 09:57:00,71.92,71.99,71.92,71.99,6353.0
2019-03-25 09:58:00,71.92,71.94,71.87,71.87,6795.0
2019-03-25 09:59:00,71.91,71.94,71.87,71.87,4745.0
2019-03-25 10:00:00,71.8,71.87,71.8,71.83,3512.0
2019-03-25 10:01:00,71.86,71.88,71.82,71.82,8573.0
2019-03-25 10:02:00,71.9,72.0468,71.9,72.03,7311.0
2019-03-25 10:03:00,71.97,71.97,71.94,71.94,4951.0
2019-03-25 10:04:00,71.92,71.95,71.85,71.85,17458.0
2019-03-25 10:05:00,71.85,71.87,71.8,71.81,13890.0
2019-03-25 10:06:00,71.79,71.85,71.79,71.85,10497.0
2019-03-25 10:07:00,71.87,71.94,71.86,71.94,12355.0
2019-03-25 10:08:00,71.94,71.97,71.86,71.86,8473.0
2019-03-25 10:09:00,71.82,71.9,71.82,71.85,8181.0
2019-03-25 10:10:00,71.84,71.88,71.82,71.86,8911.0
2019-03-25 10:11:00,71.81,71.81,71.75,71.77,6834.0
2019-03-25 10:12:00,71.8,71.81,71.67,71.67,14591.0
2019-03-25 10:13:00,71.69,71.69,71.65,71.69,11572.0
2019-03-25 10:14:00,71.68,71.68,71.66,71.68,9830.0
2019-03-25 10:15:00,71.64,71.64,71.57,71.62,11917.0
2019-03-25 10:16:00,71.62,71.65,71.62,71.64,4644.0
2019-03-25 10:17:00,71.67,71.71,71.67,71.67,5129.0
2019-03-25 10:18:00,71.67,71.71,71.64,71.64,7252.0
2019-03-25 10:19:00,71.67,71.71,71.67,71.71,5867.0
2019-03-25 10:20:00,71.67,71.7,71.67,71.7,10074.0
2019-03-25 10:21:00,71.64,71.7,71.64,71.69,11446.0
2019-03-25 10:22:00,71.69,71.69,71.66,71.66,5427.0
2019-03-25 10:23:00,71.65,71.66,71.62,71.62,5887.0
2019-03-25 10:24:00,71.589,71.61,71.58,71.58,6346.0
2019-03-25 10:25:00,71.61,71.64,71.58,71.64,4408.0
2019-03-25 10:26:00,71.61,71.72,71.61,71.72,7876.0
2019-03-25 10:27:00,71.72,71.73,71.7147,71.73,4849.0
2019-03-25 10:28:00,71.69,71.7,71.69,71.69,4067.0
2019-03-25 10:29:00,71.7,71.7,71.68,71.68,3229.0
2019-03-25 10:30:00,71.6985,71.73,71.6985,71.73,5681.0
2019-03-25 10:31:00,71.74,71.79,71.72,71.79,5008.0
2019-03-25 10:32:00,71.81,71.92,71.81,71.92,13696.0
2019-03-25 10:33:00,71.9,72.0,71.9,72.0,9207.0
2019-03-25 10:34:00,72.0,72.0,71.98,71.99,4912.0
2019-03-25 10:35:00,71.97,71.97,71.96,71.97,9773.0
2019-03-25 10:36:00,71.97,71.97,71.9,71.92,6771.0
2019-03-25 10:37:00,71.87,71.94,71.84,71.94,10298.0
2019-03-25 10:38:00,71.95,71.95,71.89,71.89,8080.0
2019-03-25 10:39:00,71.87,71.89,71.853,71.89,16834.0
2019-03-25 10:40:00,71.9,71.96,71.89,71.89,6612.0
2019-03-25 10:41:00,71.89,71.92,71.88,71.91,6636.0
2019-03-25 10:42:00,71.92,71.95,71.92,71.93,3603.0
2019-03-25 10:43:00,71.97,72.02,71.97,71.97,6729.0
2019-03-25 10:44:00,71.98,71.99,71.95,71.95,6303.0
2019-03-25 10:45:00,72.02,72.08,72.02,72.05,5772.0
2019-03-25 10:46:00,72.05,72.12,72.05,72.12,3616.0
2019-03-25 10:47:00,72.11,72.11,72.07,72.09,5663.0
2019-03-25 10:48:00,72.05,72.06,72.02,72.04,9299.0
2019-03-25 10:49:00,72.07,72.13,72.07,72.12,7572.0
2019-03-25 10:50:00,72.15,72.21,72.15,72.21,7128.0
