date,1. open,2. high,3. low,4. close,5. volume
2019-03-25 09:31:00,2.12,2.12,2.12,2.12,0.0
2019-03-25 09:33:00,2.15,2.15,2.15,2.15,1335.0
2019-03-25 09:41:00,2.17,2.17,2.17,2.17,445.0
2019-03-25 09:44:00,2.1503,2.1503,2.1503,2.1503,1453.0
2019-03-25 09:46:00,2.1412,2.1412,2.1412,2.1412,561.0
2019-03-25 09:49:00,2.12,2.12,2.12,2.12,178.0
2019-03-25 09:52:00,2.11,2.1131,2.11,2.1131,1002.0
2019-03-25 09:55:00,2.11,2.11,2.11,2.11,1207.0
2019-03-25 10:01:00,2.1,2.1,2.1,2.1,875.0
2019-03-25 10:03:00,2.1,2.1,2.1,2.1,100.0
2019-03-25 10:08:00,2.1,2.1,2.1,2.1,228.0
2019-03-25 10:09:00,2.1,2.1,2.1,2.1,301.0
2019-03-25 10:12:00,2.1,2.1,2.1,2.1,190.0
2019-03-25 10:13:00,2.1,2.1,2.1,2.1,310.0
2019-03-25 10:14:00,2.1,2.1,2.1,2.1,455.0
2019-03-25 10:16:00,2.1,2.1,2.1,2.1,300.0
2019-03-25 10:18:00,2.1,2.1,2.1,2.1,302.0
2019-03-25 10:20:00,2.1,2.1,2.1,2.1,200.0
2019-03-25 10:22:00,2.105,2.105,2.105,2.105,300.0
2019-03-25 10:27:00,2.11,2.12,2.11,2.12,3894.0
2019-03-25 10:28:00,2.1458,2.1458,2.1458,2.1458,3410.0
2019-03-25 10:29:00,2.13,2.13,2.13,2.13,233.0
2019-03-25 10:39:00,2.1274,2.1274,2.1274,2.1274,855.0
2019-03-25 10:42:00,2.11,2.11,2.11,2.11,516.0
2019-03-25 10:49:00,2.11,2.11,2.11,2.11,105.0
2019-03-25 10:53:00,2.12,2.12,2.1,2.1,1110.0
2019-03-25 10:57:00,2.1,2.1,2.1,2.1,100.0
2019-03-25 11:00:00,2.1,2.11,2.1,2.11,205.0
2019-03-25 11:04:00,2.1,2.1,2.1,2.1,100.0
2019-03-25 11:08:00,2.1,2.114,2.1,2.114,1615.0
2019-03-25 11:14:00,2.11,2.11,2.11,2.11,780.0
2019-03-25 11:15:00,2.1,2.1,2.1,2.1,200.0
2019-03-25 11:17:00,2.1,2.1,2.1,2.1,2195.0
2019-03-25 11:20:00,2.09,2.1,2.09,2.1,920.0
2019-03-25 11:22:00,2.1,2.105,2.1,2.105,4160.0
2019-03-25 11:23:00,2.1,2.1,2.1,2.1,724.0
2019-03-25 11:27:00,2.12,2.12,2.12,2.12,1540.0
2019-03-25 11:29:00,2.1282,2.1282,2.1282,2.1282,360.0
2019-03-25 11:43:00,2.125,2.125,2.125,2.125,100.0
2019-03-25 11:45:00,2.11,2.11,2.11,2.11,100.0
2019-03-25 11:48:00,2.11,2.11,2.11,2.11,130.0
2019-03-25 11:52:00,2.11,2.11,2.11,2.11,100.0
2019-03-25 11:56:00,2.11,2.11,2.11,2.11,100.0
2019-03-25 12:00:00,2.11,2.11,2.1,2.1,4468.0
2019-03-25 12:01:00,2.1,2.1,2.1,2.1,105.0
2019-03-25 12:05:00,2.08,2.08,2.08,2.08,589.0
2019-03-25 12:08:00,2.0887,2.0887,2.0887,2.0887,720.0
2019-03-25 12:19:00,2.06,2.06,2.06,2.06,1121.0
2019-03-25 12:25:00,2.04,2.04,2.04,2.04,663.0
2019-03-25 12:26:00,2.0499,2.07,2.0499,2.07,3598.0
2019-03-25 12:29:00,2.0702,2.0702,2.0702,2.0702,302.0
2019-03-25 12:37:00,2.05,2.05,2.05,2.05,516.0
2019-03-25 12:46:00,2.04,2.04,2.04,2.04,275.0
2019-03-25 12:50:00,2.04,2.04,2.04,2.04,100.0
2019-03-25 12:55:00,2.04,2.04,2.04,2.04,100.0
2019-03-25 12:56:00,2.04,2.04,2.04,2.04,100.0
2019-03-25 12:59:00,2.04,2.04,2.04,2.04,100.0
2019-03-25 13:02:00,2.035,2.035,2.035,2.035,1305.0
2019-03-25 13:03:00,2.035,2.035,2.03,2.03,1061.0
2019-03-25 13:06:00,2.03,2.03,2.03,2.03,176.0
2019-03-25 13:14:00,2.025,2.025,2.025,2.025,405.0
2019-03-25 13:16:00,2.02,2.02,2.02,2.02,305.0
2019-03-25 13:19:00,2.02,2.02,2.02,2.02,100.0
2019-03-25 13:22:00,2.0201,2.0201,2.0201,2.0201,1000.0
2019-03-25 13:24:00,2.02,2.02,2.02,2.02,110.0
2019-03-25 13:27:00,2.015,2.015,2.015,2.015,1139.0
2019-03-25 13:29:00,2.02,2.02,2.02,2.02,105.0
2019-03-25 13:31:00,2.015,2.015,2.015,2.015,726.0
2019-03-25 13:34:00,2.01,2.13,2.01,2.0901,25800.0
2019-03-25 13:35:00,2.09,2.09,2.08,2.08,4347.0
2019-03-25 13:45:00,2.08,2.09,2.08,2.09,935.0
2019-03-25 13:52:00,2.09,2.09,2.09,2.09,180.0
2019-03-25 13:57:00,2.09,2.09,2.09,2.09,100.0
2019-03-25 13:58:00,2.08,2.08,2.08,2.08,205.0
