date,1. open,2. high,3. low,4. close,5. volume
2019-03-28 09:31:00,164.49,164.72,164.22,164.3,522298.0
2019-03-28 09:32:00,164.3,164.3,163.75,164.01,126070.0
2019-03-28 09:33:00,164.07,164.07,163.33,163.6,130928.0
2019-03-28 09:34:00,163.545,164.13,163.47,164.0345,81641.0
2019-03-28 09:35:00,164.02,164.15,163.62,163.8499,121145.0
2019-03-28 09:36:00,163.8,164.039,163.75,163.965,71954.0
2019-03-28 09:37:00,163.96,164.0168,163.65,163.75,73541.0
2019-03-28 09:38:00,163.7508,164.23,163.7508,164.1879,66762.0
2019-03-28 09:39:00,164.2,164.49,164.01,164.29,108419.0
2019-03-28 09:40:00,164.28,164.63,164.25,164.568,82536.0
2019-03-28 09:41:00,164.54,164.71,164.4254,164.6984,79980.0
2019-03-28 09:42:00,164.67,164.91,164.63,164.75,82917.0
2019-03-28 09:43:00,164.73,164.735,164.11,164.33,74940.0
2019-03-28 09:44:00,164.25,164.495,164.23,164.435,44963.0
2019-03-28 09:45:00,164.48,164.71,164.48,164.62,36298.0
2019-03-28 09:46:00,164.6,164.6,164.42,164.445,38008.0
2019-03-28 09:47:00,164.445,164.68,164.4375,164.56,38696.0
2019-03-28 09:48:00,164.58,164.7806,164.47,164.7806,37218.0
2019-03-28 09:49:00,164.79,165.08,164.7,165.05,92696.0
2019-03-28 09:50:00,165.05,165.06,164.84,164.935,64442.0
2019-03-28 09:51:00,165.0,165.07,164.88,165.005,76249.0
2019-03-28 09:52:00,165.0,165.15,165.0,165.14,95339.0
2019-03-28 09:53:00,165.15,165.43,165.11,165.39,67467.0
2019-03-28 09:54:00,165.405,165.4744,165.25,165.37,62829.0
2019-03-28 09:55:00,165.34,165.38,165.1,165.31,49135.0
2019-03-28 09:56:00,165.245,165.3699,165.23,165.3,42572.0
2019-03-28 09:57:00,165.28,165.47,165.21,165.422,38388.0
2019-03-28 09:58:00,165.4,165.46,165.3,165.35,34174.0
2019-03-28 09:59:00,165.38,165.43,165.28,165.33,17135.0
2019-03-28 10:00:00,165.29,165.36,165.26,165.31,16208.0
2019-03-28 10:01:00,165.33,165.46,165.27,165.3,44112.0
2019-03-28 10:02:00,165.3,165.31,165.04,165.15,53746.0
2019-03-28 10:03:00,165.18,165.4,165.17,165.39,22721.0
2019-03-28 10:04:00,165.386,165.6347,165.34,165.5971,48110.0
2019-03-28 10:05:00,165.62,165.83,165.62,165.8,59306.0
2019-03-28 10:06:00,165.82,165.87,165.67,165.76,63056.0
2019-03-28 10:07:00,165.77,165.897,165.69,165.78,32964.0
2019-03-28 10:08:00,165.7699,165.81,165.66,165.71,20919.0
2019-03-28 10:09:00,165.7,165.75,165.53,165.63,25416.0
2019-03-28 10:10:00,165.65,165.7399,165.58,165.65,14987.0
2019-03-28 10:11:00,165.67,165.74,165.59,165.59,22123.0
2019-03-28 10:12:00,165.61,165.7763,165.57,165.69,15314.0
2019-03-28 10:13:00,165.6999,165.74,165.6,165.6,44420.0
2019-03-28 10:14:00,165.64,165.7202,165.61,165.635,19500.0
2019-03-28 10:15:00,165.58,165.6207,165.52,165.6207,20810.0
2019-03-28 10:16:00,165.63,165.71,165.6082,165.71,35577.0
2019-03-28 10:17:00,165.71,165.74,165.52,165.5463,33495.0
2019-03-28 10:18:00,165.5456,165.55,165.38,165.48,21945.0
2019-03-28 10:19:00,165.48,165.5,165.3,165.4255,23759.0
2019-03-28 10:20:00,165.39,165.44,165.31,165.41,12834.0
2019-03-28 10:21:00,165.45,165.65,165.42,165.58,16084.0
2019-03-28 10:22:00,165.56,165.56,165.42,165.53,11512.0
2019-03-28 10:23:00,165.57,165.61,165.54,165.61,25873.0
2019-03-28 10:24:00,165.63,165.664,165.59,165.6201,11525.0
2019-03-28 10:25:00,165.62,165.73,165.61,165.62,19518.0
2019-03-28 10:26:00,165.61,165.61,165.26,165.29,19778.0
2019-03-28 10:27:00,165.298,165.45,165.298,165.42,9841.0
2019-03-28 10:28:00,165.44,165.5289,165.43,165.45,17454.0
2019-03-28 10:29:00,165.445,165.585,165.445,165.53,11814.0
2019-03-28 10:30:00,165.555,165.65,165.51,165.63,53207.0
2019-03-28 10:31:00,165.67,165.97,165.67,165.9228,53735.0
2019-03-28 10:32:00,165.92,166.12,165.84,166.0,83039.0
2019-03-28 10:33:00,166.0199,166.16,166.012,166.04,28496.0
2019-03-28 10:34:00,166.075,166.23,166.075,166.2,20789.0
2019-03-28 10:35:00,166.2068,166.24,166.1,166.14,22625.0
2019-03-28 10:36:00,166.1362,166.33,166.1362,166.32,28963.0
2019-03-28 10:37:00,166.31,166.46,166.31,166.4101,89086.0
2019-03-28 10:38:00,166.45,166.65,166.44,166.6,80860.0
2019-03-28 10:39:00,166.61,166.64,166.53,166.61,38036.0
2019-03-28 10:40:00,166.61,166.63,166.36,166.36,28765.0
