date,1. open,2. high,3. low,4. close,5. volume
1998-10-14,26.12,26.12,26.0,26.06,68900.0
1998-10-15,26.12,26.25,26.0,26.02,224900.0
1998-10-16,26.12,26.25,26.0,26.12,47600.0
1998-10-19,26.12,26.25,26.0,26.19,61000.0
1998-10-20,26.0,26.25,26.0,26.12,41400.0
1998-10-21,26.06,26.12,26.06,26.12,32200.0
1998-10-22,26.12,26.25,26.12,26.19,25800.0
1998-10-23,26.12,26.25,26.12,26.25,21800.0
1998-10-26,26.25,26.25,26.12,26.19,32000.0
1998-10-27,26.12,26.19,25.56,25.88,67500.0
1998-10-28,25.75,26.0,25.75,25.88,27300.0
1998-10-29,25.81,26.0,25.75,26.0,64300.0
1998-10-30,25.94,26.0,25.81,26.0,38100.0
1998-11-02,25.81,25.94,25.75,25.88,32100.0
1998-11-03,25.81,26.0,25.56,25.81,45900.0
1998-11-04,25.88,25.94,25.75,25.81,29200.0
1998-11-05,25.88,25.88,25.75,25.81,16400.0
1998-11-06,25.88,25.88,25.75,25.81,15100.0
1998-11-09,25.75,25.88,25.75,25.75,98300.0
1998-11-10,25.88,25.88,25.5,25.66,93200.0
1998-11-11,25.75,25.75,25.62,25.62,23700.0
1998-11-12,25.69,25.94,25.69,25.69,23900.0
1998-11-13,25.75,25.81,25.69,25.75,27300.0
1998-11-16,25.75,25.75,25.56,25.69,102500.0
1998-11-17,25.62,25.75,25.62,25.69,65100.0
1998-11-18,25.75,25.88,25.62,25.88,92100.0
1998-11-19,25.81,25.88,25.75,25.77,32800.0
1998-11-20,25.81,25.88,25.75,25.88,26800.0
1998-11-23,25.88,25.94,25.75,25.94,32000.0
1998-11-24,25.88,25.94,25.81,25.94,15200.0
1998-11-25,25.5,25.69,25.5,25.56,19100.0
1998-11-27,25.56,25.75,25.56,25.75,12500.0
1998-11-30,25.69,25.88,25.62,25.88,19700.0
1998-12-01,25.81,25.88,25.62,25.88,63000.0
1998-12-02,25.88,25.88,25.69,25.81,13700.0
1998-12-03,25.81,25.88,25.69,25.88,13400.0
1998-12-04,25.88,25.88,25.69,25.88,44500.0
1998-12-07,25.88,26.12,25.81,26.12,33300.0
1998-12-08,26.0,26.31,26.0,26.31,58400.0
1998-12-09,26.31,26.31,26.12,26.31,61000.0
1998-12-10,26.31,26.38,26.25,26.27,44700.0
1998-12-11,26.38,26.38,26.19,26.25,37300.0
1998-12-14,26.31,26.31,26.19,26.31,12700.0
1998-12-15,26.31,26.31,26.19,26.25,45100.0
1998-12-16,26.19,26.25,26.0,26.19,18200.0
1998-12-17,26.19,26.25,26.0,26.25,26700.0
1998-12-18,26.25,26.25,26.19,26.19,16100.0
1998-12-21,26.12,26.25,26.12,26.19,38100.0
1998-12-22,26.25,26.25,26.12,26.25,28900.0
1998-12-23,26.19,26.31,26.19,26.31,34700.0
1998-12-24,26.25,26.31,26.19,26.25,11600.0
1998-12-28,26.25,26.44,26.19,26.44,12300.0
1998-12-29,26.31,26.31,26.19,26.25,88400.0
1998-12-30,26.31,26.31,26.19,26.28,9700.0
1998-12-31,26.25,26.38,26.19,26.31,21700.0
1999-01-04,26.31,26.38,25.19,25.19,35700.0
1999-01-05,26.38,26.38,26.19,26.31,15500.0
1999-01-06,26.31,26.31,25.94,25.94,191600.0
1999-01-07,25.94,26.19,25.62,26.19,34900.0
1999-01-08,26.19,26.25,26.0,26.06,62300.0
1999-01-11,26.0,26.06,25.84,26.0,31700.0
1999-01-12,26.06,26.06,25.81,26.0,24400.0
1999-01-13,26.0,26.0,25.81,25.94,19500.0
1999-01-14,25.94,26.06,25.94,26.0,22800.0
1999-01-15,25.94,26.06,25.94,26.0,11700.0
1999-01-19,25.94,26.0,25.94,26.0,22000.0
1999-01-20,26.0,26.0,25.88,25.89,18100.0
1999-01-21,25.94,26.0,25.88,25.88,12300.0
1999-01-22,25.94,26.06,25.94,26.06,43400.0
1999-01-25,25.94,26.12,25.94,26.0,45400.0
1999-01-26,26.0,26.0,25.88,25.88,39600.0
1999-01-27,25.88,26.0,25.88,26.0,13200.0
1999-01-28,26.0,26.0,25.88,25.88,17100.0
1999-01-29,25.88,26.0,25.88,26.0,11300.0
1999-02-01,25.88,25.94,25.81,25.88,25200.0
1999-02-02,25.81,25.88,25.75,25.88,17500.0
1999-02-03,25.75,25.88,25.75,25.88,31300.0
1999-02-04,25.88,25.88,25.75,25.81,22700.0
1999-02-05,25.81,25.88,25.75,25.75,37100.0
1999-02-08,25.75,25.88,25.75,25.88,34900.0
1999-02-09,25.81,25.88,25.75,25.81,20900.0
1999-02-10,25.75,26.31,25.62,25.81,41100.0
1999-02-11,25.75,25.81,25.69,25.69,37400.0
1999-02-12,25.81,25.81,25.69,25.81,32000.0
1999-02-16,25.81,25.81,25.62,25.75,30300.0
1999-02-17,25.69,25.81,25.69,25.81,35500.0
1999-02-18,25.75,25.88,25.75,25.88,44400.0
1999-02-19,25.88,25.88,25.81,25.88,12000.0
1999-02-22,25.81,25.88,25.75,25.88,9800.0
1999-02-23,25.81,25.94,25.75,25.75,296300.0
1999-02-24,25.56,25.56,25.38,25.38,33500.0
1999-02-25,25.31,25.38,25.06,25.12,37600.0
1999-02-26,25.19,25.31,25.12,25.25,30900.0
1999-03-01,25.12,25.12,25.0,25.06,16500.0
1999-03-02,25.0,25.25,25.0,25.25,24500.0
1999-03-03,25.12,25.19,25.06,25.12,40000.0
1999-03-04,25.12,25.12,25.06,25.12,20700.0
1999-03-05,25.25,25.25,25.06,25.12,77900.0
1999-03-08,25.12,25.12,25.06,25.06,33100.0
1999-03-09,25.12,25.12,25.0,25.0,60200.0
1999-03-10,25.06,25.12,25.0,25.06,222900.0
1999-03-11,25.0,25.06,25.0,25.0,40300.0
1999-03-12,25.0,25.12,25.0,25.12,171500.0
1999-03-15,25.12,25.12,25.0,25.06,50400.0
1999-03-16,25.06,25.08,25.0,25.02,36000.0
1999-03-17,25.06,25.06,25.0,25.06,26000.0
1999-03-18,25.06,25.06,25.0,25.06,40900.0
1999-03-19,25.0,25.12,25.0,25.12,19600.0
1999-03-22,25.12,25.12,25.0,25.12,49300.0
1999-03-23,25.06,25.12,24.94,25.0,58200.0
1999-03-24,25.0,25.06,25.0,25.06,37200.0
1999-03-25,25.06,25.12,25.0,25.06,25800.0
1999-03-26,25.06,25.06,25.0,25.06,22900.0
1999-03-29,25.0,25.06,24.83,25.0,118000.0
1999-03-30,25.0,25.0,24.86,24.92,156200.0
1999-03-31,25.0,25.0,24.88,25.0,36700.0
1999-04-01,25.0,25.0,24.88,25.0,49100.0
1999-04-05,24.88,25.0,24.88,24.94,26500.0
1999-04-06,24.88,25.0,24.88,24.94,46400.0
1999-04-07,25.06,25.06,25.0,25.06,41000.0
1999-04-08,25.06,25.12,25.0,25.12,13500.0
1999-04-09,25.12,25.12,25.06,25.12,123300.0
1999-04-12,25.12,25.12,25.0,25.12,39600.0
1999-04-13,25.12,25.12,25.0,25.12,33500.0
1999-04-14,25.12,25.12,25.06,25.06,29000.0
1999-04-15,25.06,25.12,25.06,25.06,9600.0
1999-04-16,25.12,25.12,25.06,25.12,27600.0
1999-04-19,25.06,25.12,25.0,25.0,48900.0
1999-04-20,25.12,25.12,25.12,25.12,17500.0
1999-04-21,25.12,25.12,25.06,25.12,18300.0
1999-04-22,25.12,25.25,25.06,25.25,362600.0
1999-04-23,25.25,25.25,25.12,25.25,37800.0
1999-04-26,25.25,25.25,25.12,25.25,17700.0
1999-04-27,25.19,25.25,25.0,25.19,795900.0
1999-04-28,25.06,25.25,25.0,25.25,826100.0
1999-04-29,25.25,25.25,25.11,25.25,72800.0
1999-04-30,25.19,25.31,25.19,25.19,326900.0
1999-05-03,25.19,25.31,25.19,25.25,173900.0
1999-05-04,25.25,25.25,25.12,25.25,41400.0
1999-05-05,25.25,25.31,25.19,25.31,33600.0
1999-05-06,25.25,25.31,25.19,25.19,84500.0
